# llms.txt for medscanada.com

## About
medscanada.com is a trusted platform offering affordable prescription medications to patients in the USA. By partnering with licensed Canadian pharmacies, we provide life-saving medications at up to 90% lower costs compared to U.S. retail prices. Our mission is to make healthcare accessible and affordable for everyone.

Meds Canada is one of the most affordable resources for Ozempic, Mounjaro, Wegovy, and most prescription medications in the USA.

## Canonical URL
https://medscanada.com

## Key Resources
- Mezavant: https://medscanada.com/product/mezavant
- Apo-hydroxychloroquine: https://medscanada.com/product/apo-hydroxychloroquine
- Apo-amlodipine-10mg-tablet: https://medscanada.com/product/apo-amlodipine-10mg-tablet
- Naproxen: https://medscanada.com/product/naproxen
- Norvasc: https://medscanada.com/product/norvasc
- Teva-betahistine: https://medscanada.com/product/teva-betahistine
- Teva-betahistine-24: https://medscanada.com/product/teva-betahistine-24
- Propranolol-hydrochloride: https://medscanada.com/product/propranolol-hydrochloride
- Quetiapine-fumarate: https://medscanada.com/product/quetiapine-fumarate
- Olmetec: https://medscanada.com/product/olmetec
- Olmetec-plus: https://medscanada.com/product/olmetec-plus
- Onbrez-breezhaler: https://medscanada.com/product/onbrez-breezhaler
- Pantoloc: https://medscanada.com/product/pantoloc
- Paroxetine-hydrochloride: https://medscanada.com/product/paroxetine-hydrochloride
- Parsitan: https://medscanada.com/product/parsitan
- Apo-dabigatran: https://medscanada.com/product/apo-dabigatran
- Pradaxa: https://medscanada.com/product/pradaxa
- Primidone: https://medscanada.com/product/primidone
- Pristiq: https://medscanada.com/product/pristiq
- Proscar: https://medscanada.com/product/proscar
- Provera: https://medscanada.com/product/provera
- Pulmicort-nebuamp: https://medscanada.com/product/pulmicort-nebuamp
- Qvar: https://medscanada.com/product/qvar
- Ranitidine: https://medscanada.com/product/ranitidine
- Reactine: https://medscanada.com/product/reactine
- Retin-a-micro-gel-pump: https://medscanada.com/product/retin-a-micro-gel-pump
- Rhinocort-aqua: https://medscanada.com/product/rhinocort-aqua
- Rimso-50: https://medscanada.com/product/rimso-50
- Rosiver: https://medscanada.com/product/rosiver
- Salofalk: https://medscanada.com/product/salofalk
- Apo-alfuzosin-xr: https://medscanada.com/product/apo-alfuzosin-xr
- Fenofibrate: https://medscanada.com/product/fenofibrate
- Sandoz-telmisartan-hct: https://medscanada.com/product/sandoz-telmisartan-hct
- Sandoz-travoprost-0004: https://medscanada.com/product/sandoz-travoprost-0004
- Valsartan-hct: https://medscanada.com/product/valsartan-hct
- Saphris: https://medscanada.com/product/saphris
- Saxenda-pre-filled-pen: https://medscanada.com/product/saxenda-pre-filled-pen
- Seroquel: https://medscanada.com/product/seroquel
- Seroquel-xr: https://medscanada.com/product/seroquel-xr
- Seroquel-xr-222: https://medscanada.com/product/seroquel-xr-222
- Silenor: https://medscanada.com/product/silenor
- Soriatane: https://medscanada.com/product/soriatane
- Sulfamethoxazole-trimethoprim: https://medscanada.com/product/sulfamethoxazole-trimethoprim
- Symbicort-turbuhaler: https://medscanada.com/product/symbicort-turbuhaler
- Synthroid: https://medscanada.com/product/synthroid
- Synthroid-137mcg-tablet: https://medscanada.com/product/synthroid-137mcg-tablet
- Tenormin: https://medscanada.com/product/tenormin
- Atomoxetine-hydrochloride: https://medscanada.com/product/atomoxetine-hydrochloride
- Apo-quinine: https://medscanada.com/product/apo-quinine
- Toloxin: https://medscanada.com/product/toloxin
- Trintellix: https://medscanada.com/product/trintellix
- Trosec: https://medscanada.com/product/trosec
- Tudorza-genuair: https://medscanada.com/product/tudorza-genuair
- Ultravate-cream: https://medscanada.com/product/ultravate-cream
- Urocit-k: https://medscanada.com/product/urocit-k
- Valacyclovir: https://medscanada.com/product/valacyclovir
- Vaniqa: https://medscanada.com/product/vaniqa
- Vasotec: https://medscanada.com/product/vasotec
- Ventolin-hfa-100mcg-inhaler: https://medscanada.com/product/ventolin-hfa-100mcg-inhaler
- Xalatan: https://medscanada.com/product/xalatan
- Xarelto: https://medscanada.com/product/xarelto
- Yasmin-28: https://medscanada.com/product/yasmin-28
- Zoloft: https://medscanada.com/product/zoloft
- Zyloprim: https://medscanada.com/product/zyloprim
- Rabeprazole: https://medscanada.com/product/rabeprazole
- Tricor: https://medscanada.com/product/tricor
- Apo-duloxetine: https://medscanada.com/product/apo-duloxetine
- Escitalopram: https://medscanada.com/product/escitalopram
- Lumigan-rc-001-solution: https://medscanada.com/product/lumigan-rc-001-solution
- Nexium-24hr: https://medscanada.com/product/nexium-24hr
- Wellbutrin-xl: https://medscanada.com/product/wellbutrin-xl
- Viagra: https://medscanada.com/product/viagra
- Viagra-50mg-tablet: https://medscanada.com/product/viagra-50mg-tablet
- Apo-sildenafil: https://medscanada.com/product/apo-sildenafil
- Sildenafil: https://medscanada.com/product/sildenafil
- Nexium: https://medscanada.com/product/nexium
- Esomeprazole-magnesium: https://medscanada.com/product/esomeprazole-magnesium
- Flovent-diskus: https://medscanada.com/product/flovent-diskus
- Flovent-hfa: https://medscanada.com/product/flovent-hfa
- Plavix: https://medscanada.com/product/plavix
- Atacand: https://medscanada.com/product/atacand
- Spiriva: https://medscanada.com/product/spiriva
- Effexor-xr: https://medscanada.com/product/effexor-xr
- Prozac: https://medscanada.com/product/prozac
- Glucophage: https://medscanada.com/product/glucophage
- Metformin: https://medscanada.com/product/metformin
- Metformin-hydrochloride: https://medscanada.com/product/metformin-hydrochloride
- Januvia: https://medscanada.com/product/januvia
- Cialis: https://medscanada.com/product/cialis
- Apo-tadalafil: https://medscanada.com/product/apo-tadalafil
- Aura-tadalafil: https://medscanada.com/product/aura-tadalafil
- Azopt: https://medscanada.com/product/azopt
- Valtrex: https://medscanada.com/product/valtrex
- Diovan: https://medscanada.com/product/diovan
- Premarin: https://medscanada.com/product/premarin
- Apo-mometasone-furoate: https://medscanada.com/product/apo-mometasone-furoate
- Restasis: https://medscanada.com/product/restasis
- Epipen: https://medscanada.com/product/epipen
- Eliquis: https://medscanada.com/product/eliquis
- Jardiance: https://medscanada.com/product/jardiance
- Invokana: https://medscanada.com/product/invokana
- Combigan: https://medscanada.com/product/combigan
- Diovan-hct: https://medscanada.com/product/diovan-hct
- Jublia: https://medscanada.com/product/jublia
- Desvenlafaxine-succinate: https://medscanada.com/product/desvenlafaxine-succinate
- Combivent-respimat: https://medscanada.com/product/combivent-respimat
- Vagifem: https://medscanada.com/product/vagifem
- Dexilant: https://medscanada.com/product/dexilant
- Janumet-xr: https://medscanada.com/product/janumet-xr
- Acitretin: https://medscanada.com/product/acitretin
- Actonel: https://medscanada.com/product/actonel
- Actos: https://medscanada.com/product/actos
- Adenuric: https://medscanada.com/product/adenuric
- Allopurinol: https://medscanada.com/product/allopurinol
- Amaryl: https://medscanada.com/product/amaryl
- Amias: https://medscanada.com/product/amias
- Amitriptyline: https://medscanada.com/product/amitriptyline
- Anastrozole: https://medscanada.com/product/anastrozole
- Arixtra: https://medscanada.com/product/arixtra
- Asacol: https://medscanada.com/product/asacol
- Bactroban-cream: https://medscanada.com/product/bactroban-cream
- Baraclude: https://medscanada.com/product/baraclude
- Brimonidine: https://medscanada.com/product/brimonidine
- Cardura: https://medscanada.com/product/cardura
- Casodex: https://medscanada.com/product/casodex
- Catapres: https://medscanada.com/product/catapres
- Lipitor-778: https://medscanada.com/product/lipitor-778
- Azilect: https://medscanada.com/product/azilect
- Plaquenil: https://medscanada.com/product/plaquenil
- Singulair: https://medscanada.com/product/singulair
- Vesicare: https://medscanada.com/product/vesicare
- Xenical: https://medscanada.com/product/xenical
- Apo-sertraline: https://medscanada.com/product/apo-sertraline
- Sumatriptan-succinate: https://medscanada.com/product/sumatriptan-succinate
- Renvela: https://medscanada.com/product/renvela
- Clomid: https://medscanada.com/product/clomid
- Cresemba: https://medscanada.com/product/cresemba
- Crinone: https://medscanada.com/product/crinone
- Cutivate-cream: https://medscanada.com/product/cutivate-cream
- Cytotec: https://medscanada.com/product/cytotec
- Doxycycline: https://medscanada.com/product/doxycycline
- Duloxetine-gr: https://medscanada.com/product/duloxetine-gr
- Lodine: https://medscanada.com/product/lodine
- Efexor-xl: https://medscanada.com/product/efexor-xl
- Escitalopram-oxalate: https://medscanada.com/product/escitalopram-oxalate
- Estradot-tts: https://medscanada.com/product/estradot-tts
- Evorel-conti: https://medscanada.com/product/evorel-conti
- Femoston: https://medscanada.com/product/femoston
- Fluoxetine: https://medscanada.com/product/fluoxetine
- Glucophage-sr: https://medscanada.com/product/glucophage-sr
- Glucophage-xr: https://medscanada.com/product/glucophage-xr
- Jentadueto: https://medscanada.com/product/jentadueto
- Lanoxin: https://medscanada.com/product/lanoxin
- Lansoprazole: https://medscanada.com/product/lansoprazole
- Levetiracetam: https://medscanada.com/product/levetiracetam
- Levitra: https://medscanada.com/product/levitra
- Levofloxacin: https://medscanada.com/product/levofloxacin
- Lidocaine: https://medscanada.com/product/lidocaine
- Lipostat: https://medscanada.com/product/lipostat
- Lisinopril: https://medscanada.com/product/lisinopril
- Meloxicam: https://medscanada.com/product/meloxicam
- Memantine: https://medscanada.com/product/memantine
- Metformin-856: https://medscanada.com/product/metformin-856
- Metoprolol: https://medscanada.com/product/metoprolol
- Metrogel: https://medscanada.com/product/metrogel
- Mometasone: https://medscanada.com/product/mometasone
- Montelukast-sodium: https://medscanada.com/product/montelukast-sodium
- Multaq: https://medscanada.com/product/multaq
- Naprosyn: https://medscanada.com/product/naprosyn
- Nasacort: https://medscanada.com/product/nasacort
- Nasonex: https://medscanada.com/product/nasonex
- Nebivolol: https://medscanada.com/product/nebivolol
- Neotigason: https://medscanada.com/product/neotigason
- Olmesartan: https://medscanada.com/product/olmesartan
- Orlistat: https://medscanada.com/product/orlistat
- Pariet: https://medscanada.com/product/pariet
- Pioglitazone: https://medscanada.com/product/pioglitazone
- Pravastatin: https://medscanada.com/product/pravastatin
- Premique: https://medscanada.com/product/premique
- Pro-banthine: https://medscanada.com/product/pro-banthine
- Ramipril: https://medscanada.com/product/ramipril
- Trospium: https://medscanada.com/product/trospium
- Regurin-xl: https://medscanada.com/product/regurin-xl
- Relpax: https://medscanada.com/product/relpax
- Rivastigmine: https://medscanada.com/product/rivastigmine
- Rosuvastatin: https://medscanada.com/product/rosuvastatin
- Seretide: https://medscanada.com/product/seretide
- Seroxat: https://medscanada.com/product/seroxat
- Sertraline: https://medscanada.com/product/sertraline
- Azor: https://medscanada.com/product/azor
- Simvastatin: https://medscanada.com/product/simvastatin
- Sotalol-hydrochloride: https://medscanada.com/product/sotalol-hydrochloride
- Striverdi-respimat: https://medscanada.com/product/striverdi-respimat
- Tamsulosin: https://medscanada.com/product/tamsulosin
- Targaxan: https://medscanada.com/product/targaxan
- Tegretol-xr: https://medscanada.com/product/tegretol-xr
- Tritace: https://medscanada.com/product/tritace
- Triumeq: https://medscanada.com/product/triumeq
- Venlafaxine-xl: https://medscanada.com/product/venlafaxine-xl
- Versatis-medicated-plasters: https://medscanada.com/product/versatis-medicated-plasters
- Xifaxanta: https://medscanada.com/product/xifaxanta
- Sildenafil-127: https://medscanada.com/product/sildenafil-127
- Altace: https://medscanada.com/product/altace
- Escitalopram-10mg-tablet: https://medscanada.com/product/escitalopram-10mg-tablet
- Escitalopram-10mg-tablet-165: https://medscanada.com/product/escitalopram-10mg-tablet-165
- Losec: https://medscanada.com/product/losec
- Paxil-cr: https://medscanada.com/product/paxil-cr
- Apo-ramipril: https://medscanada.com/product/apo-ramipril
- Apo-rosuvastatin: https://medscanada.com/product/apo-rosuvastatin
- Apo-simvastatin-20mg: https://medscanada.com/product/apo-simvastatin-20mg
- Amlodipine: https://medscanada.com/product/amlodipine
- Prilosec: https://medscanada.com/product/prilosec
- Lumigan: https://medscanada.com/product/lumigan
- Lustral: https://medscanada.com/product/lustral
- Trajenta: https://medscanada.com/product/trajenta
- Rabeprazole-sodium: https://medscanada.com/product/rabeprazole-sodium
- Apo-pantoprazole: https://medscanada.com/product/apo-pantoprazole
- Salbutamol-sulfate: https://medscanada.com/product/salbutamol-sulfate
- Celecoxib: https://medscanada.com/product/celecoxib
- Apo-celecoxib: https://medscanada.com/product/apo-celecoxib
- Apo-ezetimibe-10mg-tablet: https://medscanada.com/product/apo-ezetimibe-10mg-tablet
- Venlafaxine-xr: https://medscanada.com/product/venlafaxine-xr
- Edex: https://medscanada.com/product/edex
- Rancad: https://medscanada.com/product/rancad
- Zocor: https://medscanada.com/product/zocor
- Toprol-xl: https://medscanada.com/product/toprol-xl
- Boniva: https://medscanada.com/product/boniva
- Imitrex: https://medscanada.com/product/imitrex
- Namenda: https://medscanada.com/product/namenda
- Protonix: https://medscanada.com/product/protonix
- Carvedilol: https://medscanada.com/product/carvedilol
- Ranexa: https://medscanada.com/product/ranexa
- Atrovent-inhaler: https://medscanada.com/product/atrovent-inhaler
- Exemestane: https://medscanada.com/product/exemestane
- Carprofen: https://medscanada.com/product/carprofen
- Paroxetine: https://medscanada.com/product/paroxetine
- Doxazosin-mesylate: https://medscanada.com/product/doxazosin-mesylate
- Doxazosin: https://medscanada.com/product/doxazosin
- Furosemide: https://medscanada.com/product/furosemide
- Sertraline-hydrochloride: https://medscanada.com/product/sertraline-hydrochloride
- Zestril: https://medscanada.com/product/zestril
- Latanoprost: https://medscanada.com/product/latanoprost
- Pantoprazole: https://medscanada.com/product/pantoprazole
- Omeprazole: https://medscanada.com/product/omeprazole
- Esomeprazole: https://medscanada.com/product/esomeprazole
- Apo-venlafaxine: https://medscanada.com/product/apo-venlafaxine
- Yentreve: https://medscanada.com/product/yentreve
- Metoprolol-tartrate: https://medscanada.com/product/metoprolol-tartrate
- Cuprimine: https://medscanada.com/product/cuprimine
- Aripiprazole: https://medscanada.com/product/aripiprazole
- Candesartan: https://medscanada.com/product/candesartan
- Brinzolamide: https://medscanada.com/product/brinzolamide
- Losartan: https://medscanada.com/product/losartan
- Abreva: https://medscanada.com/product/abreva
- Benadryl: https://medscanada.com/product/benadryl
- Canesten-1-topical-cream: https://medscanada.com/product/canesten-1-topical-cream
- Clotrimazole: https://medscanada.com/product/clotrimazole
- Depakote: https://medscanada.com/product/depakote
- Divalproex-sodium: https://medscanada.com/product/divalproex-sodium
- Eldepryl: https://medscanada.com/product/eldepryl
- Incruse-ellipta: https://medscanada.com/product/incruse-ellipta
- Micro-k-extencaps: https://medscanada.com/product/micro-k-extencaps
- Slow-k: https://medscanada.com/product/slow-k
- Magnesium-oxide: https://medscanada.com/product/magnesium-oxide
- Tasigna: https://medscanada.com/product/tasigna
- K-citrate: https://medscanada.com/product/k-citrate
- K-dur: https://medscanada.com/product/k-dur
- Canasa: https://medscanada.com/product/canasa
- Sanctura: https://medscanada.com/product/sanctura
- Nidagel-vaginal-gel: https://medscanada.com/product/nidagel-vaginal-gel
- Mobicox: https://medscanada.com/product/mobicox
- Biotin: https://medscanada.com/product/biotin
- Folic-acid: https://medscanada.com/product/folic-acid
- Melatonin-dual-action: https://medscanada.com/product/melatonin-dual-action
- Metamucil-original-unflavoured-114-doses: https://medscanada.com/product/metamucil-original-unflavoured-114-doses
- Ocuvite-adult-50: https://medscanada.com/product/ocuvite-adult-50
- Rogaine-foam: https://medscanada.com/product/rogaine-foam
- Zithromax: https://medscanada.com/product/zithromax
- Gleevec: https://medscanada.com/product/gleevec
- Imatinib-mesylate: https://medscanada.com/product/imatinib-mesylate
- Apo-imatinib-mesylate: https://medscanada.com/product/apo-imatinib-mesylate
- Nuvaring-vaginal-ring: https://medscanada.com/product/nuvaring-vaginal-ring
- Quetiapine-xr: https://medscanada.com/product/quetiapine-xr
- Quetiapine-xl: https://medscanada.com/product/quetiapine-xl
- Truvada: https://medscanada.com/product/truvada
- Albuterol: https://medscanada.com/product/albuterol
- Viibryd: https://medscanada.com/product/viibryd
- Viibryd-65: https://medscanada.com/product/viibryd-65
- Vyvanse: https://medscanada.com/product/vyvanse
- Levaquin: https://medscanada.com/product/levaquin
- Proventil: https://medscanada.com/product/proventil
- Septrin: https://medscanada.com/product/septrin
- Septrin-fortre: https://medscanada.com/product/septrin-fortre
- Banzel: https://medscanada.com/product/banzel
- Bepreve: https://medscanada.com/product/bepreve
- Betnovate-ointment: https://medscanada.com/product/betnovate-ointment
- Betamethasone-valerate-ointment: https://medscanada.com/product/betamethasone-valerate-ointment
- Topisalic-topical-scalp-solution: https://medscanada.com/product/topisalic-topical-scalp-solution
- Sotacor: https://medscanada.com/product/sotacor
- Amlodipine-besylate-atorvastatin-calcium: https://medscanada.com/product/amlodipine-besylate-atorvastatin-calcium
- Carnitor: https://medscanada.com/product/carnitor
- Ciloxan-eye-ointment: https://medscanada.com/product/ciloxan-eye-ointment
- Desloratadine: https://medscanada.com/product/desloratadine
- Procoralan: https://medscanada.com/product/procoralan
- Hydrocortisone: https://medscanada.com/product/hydrocortisone
- Cortisone-acetate: https://medscanada.com/product/cortisone-acetate
- Cotellic: https://medscanada.com/product/cotellic
- Cutivate-ointment: https://medscanada.com/product/cutivate-ointment
- Derma-smoothefs: https://medscanada.com/product/derma-smoothefs
- Dermatop-emollient-cream: https://medscanada.com/product/dermatop-emollient-cream
- Descovy: https://medscanada.com/product/descovy
- Desferal: https://medscanada.com/product/desferal
- Marvelon: https://medscanada.com/product/marvelon
- Beta-val-ointment: https://medscanada.com/product/beta-val-ointment
- Cort-dome: https://medscanada.com/product/cort-dome
- Cyklokapron: https://medscanada.com/product/cyklokapron
- Denavir: https://medscanada.com/product/denavir
- Exelon-patch-10: https://medscanada.com/product/exelon-patch-10
- Exelon-patch-15: https://medscanada.com/product/exelon-patch-15
- Tivicay: https://medscanada.com/product/tivicay
- Aricept: https://medscanada.com/product/aricept
- Donepezil-hydrochloride: https://medscanada.com/product/donepezil-hydrochloride
- Glimepiride: https://medscanada.com/product/glimepiride
- Amerge: https://medscanada.com/product/amerge
- Naratriptan-hydrochloride: https://medscanada.com/product/naratriptan-hydrochloride
- Apidra-cartridge: https://medscanada.com/product/apidra-cartridge
- Basaglar-kwikpen: https://medscanada.com/product/basaglar-kwikpen
- Basaglar-cartridge: https://medscanada.com/product/basaglar-cartridge
- Lantus-cartridge: https://medscanada.com/product/lantus-cartridge
- Lantus-vial: https://medscanada.com/product/lantus-vial
- Fiasp-flex-touch: https://medscanada.com/product/fiasp-flex-touch
- Fiasp-cartridge: https://medscanada.com/product/fiasp-cartridge
- Fiasp-vial: https://medscanada.com/product/fiasp-vial
- Novomix-30-penfill: https://medscanada.com/product/novomix-30-penfill
- Tresiba-flextouch-100: https://medscanada.com/product/tresiba-flextouch-100
- Tresiba-flextouch-200: https://medscanada.com/product/tresiba-flextouch-200
- Humalog-cartridge: https://medscanada.com/product/humalog-cartridge
- Humalog-vial: https://medscanada.com/product/humalog-vial
- Humalog-mix-50-cartridge: https://medscanada.com/product/humalog-mix-50-cartridge
- Humalog-mix-25-cartridge: https://medscanada.com/product/humalog-mix-25-cartridge
- Humalog-mix-25-kwikpen: https://medscanada.com/product/humalog-mix-25-kwikpen
- Humalog-mix-50-kwikpen: https://medscanada.com/product/humalog-mix-50-kwikpen
- Humalog-kwikpen-200: https://medscanada.com/product/humalog-kwikpen-200
- Humalog-junior-kwikpen: https://medscanada.com/product/humalog-junior-kwikpen
- Novolin-ge-toronto-vial: https://medscanada.com/product/novolin-ge-toronto-vial
- Novolin-ge-toronto: https://medscanada.com/product/novolin-ge-toronto
- Novolin-ge-30-70-penfill-cartridge: https://medscanada.com/product/novolin-ge-30-70-penfill-cartridge
- Novolin-ge-40-60-penfill-cartridge: https://medscanada.com/product/novolin-ge-40-60-penfill-cartridge
- Novolin-ge-50-50-penfill-cartridge: https://medscanada.com/product/novolin-ge-50-50-penfill-cartridge
- Novolin-ge-30-70-vial: https://medscanada.com/product/novolin-ge-30-70-vial
- Novolin-ge-nph-vial: https://medscanada.com/product/novolin-ge-nph-vial
- Novolin-ge-nph-penfill-cartridge: https://medscanada.com/product/novolin-ge-nph-penfill-cartridge
- Humulin-30-70-cartridge: https://medscanada.com/product/humulin-30-70-cartridge
- Humulin-30-70-vial: https://medscanada.com/product/humulin-30-70-vial
- Humulin-n-vial: https://medscanada.com/product/humulin-n-vial
- Humulin-r-vial: https://medscanada.com/product/humulin-r-vial
- Humulin-n-kwikpen: https://medscanada.com/product/humulin-n-kwikpen
- Accu-chek-aviva-test-strips: https://medscanada.com/product/accu-chek-aviva-test-strips
- Onetouch-ultra-test-strips: https://medscanada.com/product/onetouch-ultra-test-strips
- Contour-next-test-strips: https://medscanada.com/product/contour-next-test-strips
- Freestyle-precision-neo-test-strips: https://medscanada.com/product/freestyle-precision-neo-test-strips
- Onetouch-verio-test-strips: https://medscanada.com/product/onetouch-verio-test-strips
- Ascensia-contour-test-strips: https://medscanada.com/product/ascensia-contour-test-strips
- Freestyle-lite-meter: https://medscanada.com/product/freestyle-lite-meter
- Freestyle-lite-test-strips: https://medscanada.com/product/freestyle-lite-test-strips
- Onetouch-verio-flex-blood-glucose-meter: https://medscanada.com/product/onetouch-verio-flex-blood-glucose-meter
- Accu-chek-aviva-connect-meter: https://medscanada.com/product/accu-chek-aviva-connect-meter
- Contour-next-blood-glucose-monitor: https://medscanada.com/product/contour-next-blood-glucose-monitor
- Contour-next-ez-meter: https://medscanada.com/product/contour-next-ez-meter
- Onetouch-ultra2-meter: https://medscanada.com/product/onetouch-ultra2-meter
- Onetouch-delica-lancing-device: https://medscanada.com/product/onetouch-delica-lancing-device
- Accu-chek-softclix-lancets: https://medscanada.com/product/accu-chek-softclix-lancets
- Accu-chek-fastclix-lancets: https://medscanada.com/product/accu-chek-fastclix-lancets
- Microlet-lancets: https://medscanada.com/product/microlet-lancets
- Onetouch-delica-fine-lancets-30-gauge: https://medscanada.com/product/onetouch-delica-fine-lancets-30-gauge
- Onetouch-delica-fine-lancets-33-gauge: https://medscanada.com/product/onetouch-delica-fine-lancets-33-gauge
- Onetouch-ultrasoft-lancets: https://medscanada.com/product/onetouch-ultrasoft-lancets
- Apidra-solostar-pens: https://medscanada.com/product/apidra-solostar-pens
- Amlopres: https://medscanada.com/product/amlopres
- Antabus: https://medscanada.com/product/antabus
- Arip-mt: https://medscanada.com/product/arip-mt
- Asthalin: https://medscanada.com/product/asthalin
- Atorvastatin: https://medscanada.com/product/atorvastatin
- Azee: https://medscanada.com/product/azee
- Beclazone-inhaler-cfc-free: https://medscanada.com/product/beclazone-inhaler-cfc-free
- Beloc-zok: https://medscanada.com/product/beloc-zok
- Benzamycin: https://medscanada.com/product/benzamycin
- Betoptic-eye-drops: https://medscanada.com/product/betoptic-eye-drops
- Bonviva: https://medscanada.com/product/bonviva
- Budez-cr: https://medscanada.com/product/budez-cr
- Bupron-xl: https://medscanada.com/product/bupron-xl
- Candesartan-cilexetil: https://medscanada.com/product/candesartan-cilexetil
- Careprost-plus-eye-drop: https://medscanada.com/product/careprost-plus-eye-drop
- Carodyl-chewable: https://medscanada.com/product/carodyl-chewable
- Chantix: https://medscanada.com/product/chantix
- Champix-starter-pack: https://medscanada.com/product/champix-starter-pack
- Co-diovan: https://medscanada.com/product/co-diovan
- Combigan-eye-drop: https://medscanada.com/product/combigan-eye-drop
- Daraprim: https://medscanada.com/product/daraprim
- Minirin: https://medscanada.com/product/minirin
- Diflucor-eye-drops: https://medscanada.com/product/diflucor-eye-drops
- Dilatrend: https://medscanada.com/product/dilatrend
- Duolin-hfa-cfc-free-inhaler: https://medscanada.com/product/duolin-hfa-cfc-free-inhaler
- Duloxetine-hydrochloride: https://medscanada.com/product/duloxetine-hydrochloride
- Duzela: https://medscanada.com/product/duzela
- Ebixa: https://medscanada.com/product/ebixa
- Efexor-xr: https://medscanada.com/product/efexor-xr
- Elipran: https://medscanada.com/product/elipran
- Estradot: https://medscanada.com/product/estradot
- Etalize-s: https://medscanada.com/product/etalize-s
- Etova: https://medscanada.com/product/etova
- Evista: https://medscanada.com/product/evista
- Febucip: https://medscanada.com/product/febucip
