rank,utility_tier,name,action,reason,custom_protected,optimization_llm_protected,provenance,path,archived_path,source
12,1,aws-startup-advisor:agent-advisor,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/agent-advisor/SKILL.md,,
13,1,aws-startup-advisor:architect-for-startups,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/architect-for-startups/SKILL.md,,
14,1,aws-startup-advisor:gcp-to-aws,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/gcp-to-aws/SKILL.md,,
15,1,aws-startup-advisor:knowledge-base-for-startups,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/knowledge-base-for-startups/SKILL.md,,
16,1,aws-startup-advisor:llm-to-bedrock,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/llm-to-bedrock/SKILL.md,,
17,1,aws-startup-advisor:prompt-library-for-startups,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/prompt-library-for-startups/SKILL.md,,
18,1,aws-startup-advisor:start-building-for-startups,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/start-building-for-startups/SKILL.md,,
19,1,bank-genai-model-risk-governance,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/bank-genai-model-risk-governance/SKILL.md,,~/.claude/skills/bank-genai-model-risk-governance/SKILL.md
20,1,bigquery-sql,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/bigquery-sql/SKILL.md,,~/.claude/skills/bigquery-sql/SKILL.md
21,1,bitcoin-protocol-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/bitcoin-protocol-expert/SKILL.md,,~/.claude/skills/bitcoin-protocol-expert/SKILL.md
22,1,blockchain,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/blockchain/SKILL.md,,~/.claude/skills/blockchain/SKILL.md
23,1,blockchain-economics,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/blockchain-economics/SKILL.md,,~/.claude/skills/blockchain-economics/SKILL.md
24,1,career-and-formal-writing,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/career-and-formal-writing/SKILL.md,,~/.claude/skills/career-and-formal-writing/SKILL.md
25,1,caveman,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/caveman/SKILL.md,,~/.claude/skills/caveman/SKILL.md
26,1,caveman-stats,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/caveman-stats/SKILL.md,,~/.claude/skills/caveman-stats/SKILL.md
27,1,caveman:caveman,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman/SKILL.md,,
28,1,caveman:caveman-compress,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-compress/SKILL.md,,
29,1,caveman:caveman-discover,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-discover/SKILL.md,,
30,1,caveman:caveman-evidence-review,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-evidence-review/SKILL.md,,
31,1,caveman:caveman-learn,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-learn/SKILL.md,,
32,1,caveman:caveman-optimize,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-optimize/SKILL.md,,
33,1,caveman:caveman-setup,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-setup/SKILL.md,,
34,1,caveman:caveman-stats,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-stats/SKILL.md,,
35,1,ce,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/ce/SKILL.md,,~/.claude/skills/ce/SKILL.md
36,1,chrome-devtools-mcp:debug-optimize-lcp,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/debug-optimize-lcp/SKILL.md,,
37,1,chrome-extension-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/chrome-extension-expert/SKILL.md,,~/.claude/skills/chrome-extension-expert/SKILL.md
38,1,claude-code-skills,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/claude-code-skills/SKILL.md,,~/.claude/skills/claude-code-skills/SKILL.md
39,1,claude-coding-model-selection,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-coding-model-selection/SKILL.md,,~/.claude/skills/glean/group_9/skills/claude-coding-model-selection/SKILL.md
40,1,claude-command-distill-offline,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-command-distill-offline/SKILL.md,,
41,1,claude-command-full-suite,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-command-full-suite/SKILL.md,,
42,1,claude-command-ph,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-command-ph/SKILL.md,,
43,1,claude-command-phe,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-command-phe/SKILL.md,,
44,1,claude-kv-cache-optimization-for-code-model-inference,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-kv-cache-optimization-for-code-model-inference/SKILL.md,,~/.claude/skills/glean/group_10/skills/claude-kv-cache_optimization_for_code_model_inference/SKILL.md
45,1,claude-latency-budgeting-for-real-time-code-features,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-latency-budgeting-for-real-time-code-features/SKILL.md,,~/.claude/skills/glean/group_10/skills/claude-latency_budgeting_for_real-time_code_features/SKILL.md
46,1,claude-md-management:claude-md-improver,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/claude-md-management/1.0.0/skills/claude-md-improver/SKILL.md,,
47,1,claude-temperature-top-p-tuning-for-code-generation-quality,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/claude-temperature-top-p-tuning-for-code-generation-quality/SKILL.md,,~/.claude/skills/glean/group_9/skills/claude-temperature_&_top-p_tuning_for_code_generation_quality/SKILL.md
48,1,cloudflare:web-perf,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/web-perf/SKILL.md,,
49,1,code-benchmark-interpretation,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/code-benchmark-interpretation/SKILL.md,,~/.claude/skills/code-benchmark-interpretation/SKILL.md
50,1,code-deep-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/code-deep-optimizer/SKILL.md,,~/.claude/skills/code-deep-optimizer/SKILL.md
51,1,codex-md-improver,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/codex-md-improver/SKILL.md,,~/.codex/claude-migration/backups/20260905T171755711100Z/.agents/skills/gemini/claude-plugins-official/plugins/claude-md-management/skills/claude-md-improver/SKILL.md
52,1,codex-skills,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/codex-skills/SKILL.md,,~/.claude/skills/claude-code/claude-code-skills/SKILL.md
53,1,coding-model-selection,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/coding-model-selection/SKILL.md,,~/.claude/skills/coding-model-selection/SKILL.md
54,1,coding-temp-tuning,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/coding-temp-tuning/SKILL.md,,~/.claude/skills/coding-temp-tuning/SKILL.md
55,1,concept-family-explorer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/concept-family-explorer/SKILL.md,,~/.claude/skills/concept-family-explorer/SKILL.md
56,1,configure,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/configure/SKILL.md,,~/.claude/skills/gemini/claude-plugins-official/external_plugins/discord/skills/configure/SKILL.md
57,1,content-ingestion-extraction,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/content-ingestion-extraction/SKILL.md,,~/.claude/skills/content-ingestion-extraction/SKILL.md
58,1,crawl-repo-to-llms,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/crawl-repo-to-llms/SKILL.md,,~/.claude/skills/crawl-repo-to-llms/SKILL.md
59,1,credentials,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/credentials/SKILL.md,,~/.claude/skills/gemini/science/skills/credentials/SKILL.md
60,1,customer-context-architect,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/customer-context-architect/SKILL.md,,~/.claude/skills/customer-context-architect/SKILL.md
61,1,customer-context-architect,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/customer-context-architect/SKILL.md,,
62,1,da-applied-and-communication,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/da-applied-and-communication/SKILL.md,,~/.claude/skills/da-applied-and-communication/SKILL.md
63,1,da-data-engineering-platform,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/da-data-engineering-platform/SKILL.md,,~/.claude/skills/da-data-engineering-platform/SKILL.md
64,1,database-proxies-query-middleware,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/database-proxies-query-middleware/SKILL.md,,~/.claude/skills/database-proxies-query-middleware/SKILL.md
65,1,dbt-bigquery,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/dbt-bigquery/SKILL.md,,~/.claude/skills/dbt-bigquery/SKILL.md
66,1,ddo,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ddo/SKILL.md,,~/.claude/skills/ddo/SKILL.md
67,1,ddo,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/writing-expert/references/ddo/SKILL.md,,
68,1,debug-optimize-lcp,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/debug-optimize-lcp/SKILL.md,,~/.claude/skills/debug-optimize-lcp/SKILL.md
69,1,deep-mongodb-mql-query-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/deep-mongodb-mql-query-optimizer/SKILL.md,,~/.claude/skills/custom/mqloptimizer/deep-mongodb-mql-query-optimizer/SKILL.md
70,1,deep-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/deep-optimizer/SKILL.md,,~/.claude/skills/deep-optimizer/SKILL.md
71,1,deep-query-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/deep-query-optimizer/SKILL.md,,~/.claude/skills/deep-query-optimizer/SKILL.md
72,1,deep-strategy-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/deep-strategy-optimizer/SKILL.md,,~/.claude/skills/deep-strategy-optimizer/SKILL.md
73,1,design-deep-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/design-deep-optimizer/SKILL.md,,~/.claude/skills/design-deep-optimizer/SKILL.md
74,1,devops-containers-cicd,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/devops-containers-cicd/SKILL.md,,~/.claude/skills/devops-containers-cicd/SKILL.md
75,1,diagnosis-methodology-backtest,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/diagnosis-methodology-backtest/SKILL.md,,~/.claude/skills/diagnosis-methodology-backtest/SKILL.md
76,1,dns-caching,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/dns-caching/SKILL.md,,~/.claude/skills/dns-caching/SKILL.md
77,1,document-conversion,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/document-conversion/SKILL.md,,~/.claude/skills/document-conversion/SKILL.md
78,1,document-distiller-offline,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/document-distiller-offline/SKILL.md,,~/.claude/skills/document-distiller-offline/SKILL.md
79,1,document-formats,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/document-formats/SKILL.md,,~/.claude/skills/document-formats/SKILL.md
80,1,ecommerce-automation-and-tools,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/ecommerce-automation-and-tools/SKILL.md,,~/.claude/skills/ecommerce-automation-and-tools/SKILL.md
81,1,ecommerce-fundamentals,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/ecommerce-fundamentals/SKILL.md,,~/.claude/skills/ecommerce-fundamentals/SKILL.md
82,1,embedding-inversion-threat-model,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/embedding-inversion-threat-model/SKILL.md,,~/.claude/skills/embedding-inversion-threat-model/SKILL.md
83,1,ethereum-protocol-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/ethereum-protocol-expert/SKILL.md,,~/.claude/skills/ethereum-protocol-expert/SKILL.md
84,1,firecrawl-interact,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/firecrawl-interact/SKILL.md,,~/.claude/skills/firecrawl-interact/SKILL.md
85,1,firecrawl-knowledge-base,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/firecrawl-knowledge-base/SKILL.md,,~/.claude/skills/firecrawl-knowledge-base/SKILL.md
86,1,firecrawl-scrape,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/firecrawl-scrape/SKILL.md,,~/.claude/skills/firecrawl-scrape/SKILL.md
87,1,firecrawl-seo-audit,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/firecrawl-seo-audit/SKILL.md,,~/.claude/skills/firecrawl-seo-audit/SKILL.md
88,1,frontend-ui,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/frontend-ui/SKILL.md,,~/.claude/skills/frontend-ui/SKILL.md
89,1,fsi-banking-regulatory-context,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/fsi-banking-regulatory-context/SKILL.md,,~/.claude/skills/fsi-banking-regulatory-context/SKILL.md
90,1,gemini-live-api-dev,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/gemini-live-api-dev/SKILL.md,,~/.claude/skills/gemini-live-api-dev/SKILL.md
91,1,gemini-omni-flash-api,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/gemini-omni-flash-api/SKILL.md,,~/.claude/skills/gemini-omni-flash-api/SKILL.md
92,1,generative-engine-optimization,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/generative-engine-optimization/SKILL.md,,~/.claude/skills/generative-engine-optimization/SKILL.md
93,1,gh-address-comments,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.codex/skills/gh-address-comments/SKILL.md,,
94,1,harness-streamliner,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/harness-streamliner/SKILL.md,,~/.claude/skills/harness-streamliner/SKILL.md
95,1,harness-streamliner,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/harness-streamliner/SKILL.md,,
96,1,health-behavior-change-and-donor-registration,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/health-behavior-change-and-donor-registration/SKILL.md,,~/.claude/skills/health-behavior-change-and-donor-registration/SKILL.md
97,1,high-risk-payments-and-chargeback-management,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/high-risk-payments-and-chargeback-management/SKILL.md,,~/.claude/skills/high-risk-payments-and-chargeback-management/SKILL.md
98,1,hub-architect,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/hub-architect/SKILL.md,,~/.global-ai-hub/skills/hub-architect/SKILL.md
99,1,huggingface-skills:hf-cloud-sagemaker-deployment-planner,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/hf-cloud-sagemaker-deployment-planner/SKILL.md,,
100,1,huggingface-skills:hf-cloud-serving-image-selection,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/hf-cloud-serving-image-selection/SKILL.md,,
101,1,huggingface-skills:huggingface-best,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/huggingface-best/SKILL.md,,
102,1,huggingface-skills:huggingface-llm-trainer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/huggingface-llm-trainer/SKILL.md,,
103,1,huggingface-skills:huggingface-vision-trainer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/huggingface-vision-trainer/SKILL.md,,
104,1,huggingface-skills:train-sentence-transformers,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/train-sentence-transformers/SKILL.md,,
105,1,integration-clients,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/integration-clients/SKILL.md,,~/.claude/skills/integration-clients/SKILL.md
106,1,jpmorgan-chase-account-intelligence,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/jpmorgan-chase-account-intelligence/SKILL.md,,~/.claude/skills/jpmorgan-chase-account-intelligence/SKILL.md
107,1,kv-cache-optimization,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/kv-cache-optimization/SKILL.md,,~/.claude/skills/kv-cache-optimization/SKILL.md
108,1,latency-budgeting-code-features,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/latency-budgeting-code-features/SKILL.md,,~/.claude/skills/latency-budgeting-code-features/SKILL.md
109,1,latency-budgeting-code-features,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/latency-budgeting-code-features/SKILL.md,,
110,1,leafygreen-authoring,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/leafygreen-authoring/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-leafygreen-authoring/SKILL.md
111,1,llm-quantization-strategies,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/llm-quantization-strategies/SKILL.md,,
112,1,llms-concept-abstractor,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/llms-concept-abstractor/SKILL.md,,~/.claude/skills/llms-concept-abstractor/SKILL.md
113,1,llms-deep-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/llms-deep-optimizer/SKILL.md,,~/.claude/skills/llms-deep-optimizer/SKILL.md
114,1,local-semantic-search,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/local-semantic-search/SKILL.md,,~/.claude/skills/local-semantic-search/SKILL.md
115,1,math-olympiad,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/math-olympiad/SKILL.md,,~/.claude/skills/gemini/claude-plugins-official/plugins/math-olympiad/skills/math-olympiad/SKILL.md
116,1,medusa-dev:creating-agents-in-medusa,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/medusa/medusa-dev/1.0.12/skills/creating-internal-agents/SKILL.md,,
117,1,misc-catch-all,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/misc-catch-all/SKILL.md,,~/.claude/skills/misc-catch-all/SKILL.md
118,1,ml-best-practices,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/ml-best-practices/SKILL.md,,~/.claude/skills/ml-best-practices/SKILL.md
119,1,modern-web-guidance,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/modern-web-guidance/SKILL.md,,~/.claude/skills/modern-web-guidance/SKILL.md
120,1,mongodb-collation,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/mongodb-collation/SKILL.md,,~/.claude/skills/mongodb-collation/SKILL.md
121,1,mongodb-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/mongodb-expert/SKILL.md,,~/.claude/skills/mongodb-expert/SKILL.md
122,1,mongodb-operations-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/mongodb-operations-expert/SKILL.md,,~/.claude/skills/mongodb-operations-expert/SKILL.md
123,1,mongodb:mongodb-connection,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/mongodb/1.2.1/skills/mongodb-connection/SKILL.md,,
124,1,mongodb:mongodb-natural-language-querying,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/mongodb/1.2.1/skills/mongodb-natural-language-querying/SKILL.md,,
125,1,mongodb:mongodb-query-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/mongodb/1.2.1/skills/mongodb-query-optimizer/SKILL.md,,
126,1,mongodb:mongodb-search-and-ai,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/mongodb/1.2.1/skills/mongodb-search-and-ai/SKILL.md,,
127,1,moral-psychology,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/applied-psychology/references/moral-psychology/SKILL.md,,
128,1,neon-postgres:neon,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/neon/neon-postgres/8370e740b4705a79d104b24dd29b3e33c8688378/skills/neon/SKILL.md,,
129,1,neon-postgres:neon,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/plugins-cli/neon-postgres/1.1.2/skills/neon/SKILL.md,,
130,1,neon-postgres:neon-ai-gateway,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/neon/neon-postgres/8370e740b4705a79d104b24dd29b3e33c8688378/skills/neon-ai-gateway/SKILL.md,,
131,1,neon-postgres:neon-ai-gateway,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/plugins-cli/neon-postgres/1.1.2/skills/neon-ai-gateway/SKILL.md,,
